DATE;SUNRISE;SUNSET
01/01/2012;7.14;17.35
02/01/2012;7.14;17.36
03/01/2012;7.14;17.36
04/01/2012;7.14;17.37
05/01/2012;7.15;17.38
06/01/2012;7.15;17.38
07/01/2012;7.15;17.39
08/01/2012;7.15;17.40
09/01/2012;7.15;17.41
10/01/2012;7.15;17.42
11/01/2012;7.15;17.42
12/01/2012;7.15;17.43
13/01/2012;7.15;17.44
14/01/2012;7.15;17.45
15/01/2012;7.15;17.46
16/01/2012;7.15;17.46
17/01/2012;7.15;17.47
18/01/2012;7.15;17.48
19/01/2012;7.14;17.49
20/01/2012;7.14;17.50
21/01/2012;7.14;17.50
22/01/2012;7.14;17.51
23/01/2012;7.13;17.52
24/01/2012;7.13;17.53
25/01/2012;7.13;17.54
26/01/2012;7.12;17.55
27/01/2012;7.12;17.56
28/01/2012;7.12;17.56
29/01/2012;7.11;17.57
30/01/2012;7.11;17.58
31/01/2012;7.10;17.59
01/02/2012;7.10;18.00
02/02/2012;7.09;18.00
03/02/2012;7.09;18.01
04/02/2012;7.08;18.02
05/02/2012;7.07;18.03
06/02/2012;7.07;18.04
07/02/2012;7.06;18.04
08/02/2012;7.05;18.05
09/02/2012;7.05;18.06
10/02/2012;7.04;18.07
11/02/2012;7.03;18.08
12/02/2012;7.03;18.08
13/02/2012;7.02;18.09
14/02/2012;7.01;18.10
15/02/2012;7.00;18.11
16/02/2012;6.59;18.11
17/02/2012;6.58;18.12
18/02/2012;6.58;18.13
19/02/2012;6.57;18.14
20/02/2012;6.56;18.14
21/02/2012;6.55;18.15
22/02/2012;6.54;18.16
23/02/2012;6.53;18.16
24/02/2012;6.52;18.17
25/02/2012;6.51;18.18
26/02/2012;6.50;18.18
27/02/2012;6.49;18.19
28/02/2012;6.48;18.20
29/02/2012;6.47;18.20
01/03/2012;6.46;18.21
02/03/2012;6.45;18.22
03/03/2012;6.44;18.22
04/03/2012;6.43;18.23
05/03/2012;6.42;18.24
06/03/2012;6.41;18.24
07/03/2012;6.40;18.25
08/03/2012;6.39;18.25
09/03/2012;6.37;18.26
10/03/2012;6.36;18.27
11/03/2012;6.35;18.27
12/03/2012;6.34;18.28
13/03/2012;6.33;18.28
14/03/2012;6.32;18.29
15/03/2012;6.31;18.30
16/03/2012;6.30;18.30
17/03/2012;6.28;18.31
18/03/2012;6.27;18.31
19/03/2012;6.26;18.32
20/03/2012;6.25;18.32
21/03/2012;6.24;18.33
22/03/2012;6.23;18.34
23/03/2012;6.21;18.34
24/03/2012;6.20;18.35
25/03/2012;6.19;18.35
26/03/2012;6.18;18.36
27/03/2012;6.17;18.36
28/03/2012;6.16;18.37
29/03/2012;6.14;18.38
30/03/2012;6.13;18.38
31/03/2012;6.12;18.39
01/04/2012;6.11;18.39
02/04/2012;6.10;18.40
03/04/2012;6.09;18.40
04/04/2012;6.08;18.41
05/04/2012;6.06;18.41
06/04/2012;6.05;18.42
07/04/2012;6.04;18.43
08/04/2012;6.03;18.43
09/04/2012;6.02;18.44
10/04/2012;6.01;18.44
11/04/2012;6.00;18.45
12/04/2012;5.59;18.45
13/04/2012;5.58;18.46
14/04/2012;5.57;18.46
15/04/2012;5.55;18.47
16/04/2012;5.54;18.48
17/04/2012;5.53;18.48
18/04/2012;5.52;18.49
19/04/2012;5.51;18.49
20/04/2012;5.50;18.50
21/04/2012;5.49;18.51
22/04/2012;5.48;18.51
23/04/2012;5.47;18.52
24/04/2012;5.46;18.52
25/04/2012;5.46;18.53
26/04/2012;5.45;18.53
27/04/2012;5.44;18.54
28/04/2012;5.43;18.55
29/04/2012;5.42;18.55
30/04/2012;5.41;18.56
01/05/2012;5.40;18.56
02/05/2012;5.39;18.57
03/05/2012;5.39;18.58
04/05/2012;5.38;18.58
05/05/2012;5.37;18.59
06/05/2012;5.36;19.00
07/05/2012;5.35;19.00
08/05/2012;5.35;19.01
09/05/2012;5.34;19.01
10/05/2012;5.33;19.02
11/05/2012;5.33;19.03
12/05/2012;5.32;19.03
13/05/2012;5.31;19.04
14/05/2012;5.31;19.04
15/05/2012;5.30;19.05
16/05/2012;5.30;19.06
17/05/2012;5.29;19.06
18/05/2012;5.28;19.07
19/05/2012;5.28;19.07
20/05/2012;5.28;19.08
21/05/2012;5.27;19.09
22/05/2012;5.27;19.09
23/05/2012;5.26;19.10
24/05/2012;5.26;19.10
25/05/2012;5.25;19.11
26/05/2012;5.25;19.11
27/05/2012;5.25;19.12
28/05/2012;5.24;19.13
29/05/2012;5.24;19.13
30/05/2012;5.24;19.14
31/05/2012;5.24;19.14
01/06/2012;5.23;19.15
02/06/2012;5.23;19.15
03/06/2012;5.23;19.16
04/06/2012;5.23;19.16
05/06/2012;5.23;19.17
06/06/2012;5.23;19.17
07/06/2012;5.23;19.17
08/06/2012;5.23;19.18
09/06/2012;5.23;19.18
10/06/2012;5.23;19.19
11/06/2012;5.23;19.19
12/06/2012;5.23;19.19
13/06/2012;5.23;19.20
14/06/2012;5.23;19.20
15/06/2012;5.23;19.20
16/06/2012;5.23;19.21
17/06/2012;5.23;19.21
18/06/2012;5.23;19.21
19/06/2012;5.23;19.22
20/06/2012;5.24;19.22
21/06/2012;5.24;19.22
22/06/2012;5.24;19.22
23/06/2012;5.24;19.22
24/06/2012;5.24;19.23
25/06/2012;5.25;19.23
26/06/2012;5.25;19.23
27/06/2012;5.25;19.23
28/06/2012;5.26;19.23
29/06/2012;5.26;19.23
30/06/2012;5.26;19.23
01/07/2012;5.27;19.23
02/07/2012;5.27;19.23
03/07/2012;5.28;19.23
04/07/2012;5.28;19.23
05/07/2012;5.28;19.23
06/07/2012;5.29;19.23
07/07/2012;5.29;19.23
08/07/2012;5.30;19.22
09/07/2012;5.30;19.22
10/07/2012;5.31;19.22
11/07/2012;5.31;19.22
12/07/2012;5.32;19.22
13/07/2012;5.32;19.21
14/07/2012;5.33;19.21
15/07/2012;5.33;19.21
16/07/2012;5.34;19.20
17/07/2012;5.34;19.20
18/07/2012;5.35;19.20
19/07/2012;5.35;19.19
20/07/2012;5.36;19.19
21/07/2012;5.36;19.18
22/07/2012;5.37;19.18
23/07/2012;5.37;19.17
24/07/2012;5.38;19.17
25/07/2012;5.39;19.16
26/07/2012;5.39;19.16
27/07/2012;5.40;19.15
28/07/2012;5.40;19.15
29/07/2012;5.41;19.14
30/07/2012;5.41;19.13
31/07/2012;5.42;19.13
01/08/2012;5.43;19.12
02/08/2012;5.43;19.11
03/08/2012;5.44;19.10
04/08/2012;5.44;19.10
05/08/2012;5.45;19.09
06/08/2012;5.45;19.08
07/08/2012;5.46;19.07
08/08/2012;5.46;19.07
09/08/2012;5.47;19.06
10/08/2012;5.48;19.05
11/08/2012;5.48;19.04
12/08/2012;5.49;19.03
13/08/2012;5.49;19.02
14/08/2012;5.50;19.01
15/08/2012;5.50;19.00
16/08/2012;5.51;18.59
17/08/2012;5.51;18.58
18/08/2012;5.52;18.57
19/08/2012;5.52;18.56
20/08/2012;5.53;18.55
21/08/2012;5.54;18.54
22/08/2012;5.54;18.53
23/08/2012;5.55;18.52
24/08/2012;5.55;18.51
25/08/2012;5.56;18.50
26/08/2012;5.56;18.49
27/08/2012;5.57;18.48
28/08/2012;5.57;18.47
29/08/2012;5.58;18.46
30/08/2012;5.58;18.45
31/08/2012;5.59;18.44
01/09/2012;5.59;18.42
02/09/2012;6.00;18.41
03/09/2012;6.00;18.40
04/09/2012;6.01;18.39
05/09/2012;6.01;18.38
06/09/2012;6.02;18.37
07/09/2012;6.02;18.35
08/09/2012;6.03;18.34
09/09/2012;6.03;18.33
10/09/2012;6.04;18.32
11/09/2012;6.04;18.31
12/09/2012;6.05;18.29
13/09/2012;6.05;18.28
14/09/2012;6.06;18.27
15/09/2012;6.06;18.26
16/09/2012;6.07;18.25
17/09/2012;6.07;18.23
18/09/2012;6.08;18.22
19/09/2012;6.08;18.21
20/09/2012;6.09;18.20
21/09/2012;6.09;18.19
22/09/2012;6.10;18.17
23/09/2012;6.10;18.16
24/09/2012;6.11;18.15
25/09/2012;6.11;18.14
26/09/2012;6.12;18.13
27/09/2012;6.12;18.12
28/09/2012;6.13;18.10
29/09/2012;6.13;18.09
30/09/2012;6.14;18.08
01/10/2012;6.14;18.07
02/10/2012;6.15;18.06
03/10/2012;6.15;18.04
04/10/2012;6.16;18.03
05/10/2012;6.16;18.02
06/10/2012;6.17;18.01
07/10/2012;6.17;18.00
08/10/2012;6.18;17.59
09/10/2012;6.18;17.58
10/10/2012;6.19;17.57
11/10/2012;6.20;17.55
12/10/2012;6.20;17.54
13/10/2012;6.21;17.53
14/10/2012;6.21;17.52
15/10/2012;6.22;17.51
16/10/2012;6.23;17.50
17/10/2012;6.23;17.49
18/10/2012;6.24;17.48
19/10/2012;6.24;17.47
20/10/2012;6.25;17.46
21/10/2012;6.26;17.45
22/10/2012;6.26;17.44
23/10/2012;6.27;17.43
24/10/2012;6.28;17.42
25/10/2012;6.28;17.42
26/10/2012;6.29;17.41
27/10/2012;6.30;17.40
28/10/2012;6.30;17.39
29/10/2012;6.31;17.38
30/10/2012;6.32;17.37
31/10/2012;6.33;17.37
01/11/2012;6.33;17.36
02/11/2012;6.34;17.35
03/11/2012;6.35;17.34
04/11/2012;6.35;17.34
05/11/2012;6.36;17.33
06/11/2012;6.37;17.32
07/11/2012;6.38;17.32
08/11/2012;6.38;17.31
09/11/2012;6.39;17.30
10/11/2012;6.40;17.30
11/11/2012;6.41;17.29
12/11/2012;6.42;17.29
13/11/2012;6.42;17.28
14/11/2012;6.43;17.28
15/11/2012;6.44;17.27
16/11/2012;6.45;17.27
17/11/2012;6.45;17.26
18/11/2012;6.46;17.26
19/11/2012;6.47;17.26
20/11/2012;6.48;17.25
21/11/2012;6.49;17.25
22/11/2012;6.49;17.25
23/11/2012;6.50;17.25
24/11/2012;6.51;17.24
25/11/2012;6.52;17.24
26/11/2012;6.53;17.24
27/11/2012;6.53;17.24
28/11/2012;6.54;17.24
29/11/2012;6.55;17.24
30/11/2012;6.56;17.24
01/12/2012;6.57;17.24
02/12/2012;6.57;17.24
03/12/2012;6.58;17.24
04/12/2012;6.59;17.24
05/12/2012;7.00;17.24
06/12/2012;7.00;17.24
07/12/2012;7.01;17.24
08/12/2012;7.02;17.24
09/12/2012;7.02;17.24
10/12/2012;7.03;17.25
11/12/2012;7.04;17.25
12/12/2012;7.04;17.25
13/12/2012;7.05;17.26
14/12/2012;7.06;17.26
15/12/2012;7.06;17.26
16/12/2012;7.07;17.27
17/12/2012;7.08;17.27
18/12/2012;7.08;17.27
19/12/2012;7.09;17.28
20/12/2012;7.09;17.28
21/12/2012;7.10;17.29
22/12/2012;7.10;17.29
23/12/2012;7.11;17.30
24/12/2012;7.11;17.30
25/12/2012;7.12;17.31
26/12/2012;7.12;17.32
27/12/2012;7.12;17.32
28/12/2012;7.13;17.33
29/12/2012;7.13;17.33
30/12/2012;7.13;17.34
31/12/2012;7.14;17.35
