DATE,SUNRISE,SUNSET
1/1/2012,7.14,17.35
2/1/2012,7.14,17.36
3/1/2012,7.14,17.36
4/1/2012,7.14,17.37
5/1/2012,7.15,17.38
6/1/2012,7.15,17.38
7/1/2012,7.15,17.39
8/1/2012,7.15,17.4
9/1/2012,7.15,17.41
10/1/2012,7.15,17.42
11/1/2012,7.15,17.42
12/1/2012,7.15,17.43
13/01/2012,7.15,17.44
14/01/2012,7.15,17.45
15/01/2012,7.15,17.46
16/01/2012,7.15,17.46
17/01/2012,7.15,17.47
18/01/2012,7.15,17.48
19/01/2012,7.14,17.49
20/01/2012,7.14,17.5
21/01/2012,7.14,17.5
22/01/2012,7.14,17.51
23/01/2012,7.13,17.52
24/01/2012,7.13,17.53
25/01/2012,7.13,17.54
26/01/2012,7.12,17.55
27/01/2012,7.12,17.56
28/01/2012,7.12,17.56
29/01/2012,7.11,17.57
30/01/2012,7.11,17.58
31/01/2012,7.1,17.59
1/2/2012,7.1,18
2/2/2012,7.09,18
3/2/2012,7.09,18.01
4/2/2012,7.08,18.02
5/2/2012,7.07,18.03
6/2/2012,7.07,18.04
7/2/2012,7.06,18.04
8/2/2012,7.05,18.05
9/2/2012,7.05,18.06
10/2/2012,7.04,18.07
11/2/2012,7.03,18.08
12/2/2012,7.03,18.08
13/02/2012,7.02,18.09
14/02/2012,7.01,18.1
15/02/2012,7,18.11
16/02/2012,6.59,18.11
17/02/2012,6.58,18.12
18/02/2012,6.58,18.13
19/02/2012,6.57,18.14
20/02/2012,6.56,18.14
21/02/2012,6.55,18.15
22/02/2012,6.54,18.16
23/02/2012,6.53,18.16
24/02/2012,6.52,18.17
25/02/2012,6.51,18.18
26/02/2012,6.5,18.18
27/02/2012,6.49,18.19
28/02/2012,6.48,18.2
29/02/2012,6.47,18.2
1/3/2012,6.46,18.21
2/3/2012,6.45,18.22
3/3/2012,6.44,18.22
4/3/2012,6.43,18.23
5/3/2012,6.42,18.24
6/3/2012,6.41,18.24
7/3/2012,6.4,18.25
8/3/2012,6.39,18.25
9/3/2012,6.37,18.26
10/3/2012,6.36,18.27
11/3/2012,6.35,18.27
12/3/2012,6.34,18.28
13/03/2012,6.33,18.28
14/03/2012,6.32,18.29
15/03/2012,6.31,18.3
16/03/2012,6.3,18.3
17/03/2012,6.28,18.31
18/03/2012,6.27,18.31
19/03/2012,6.26,18.32
20/03/2012,6.25,18.32
21/03/2012,6.24,18.33
22/03/2012,6.23,18.34
23/03/2012,6.21,18.34
24/03/2012,6.2,18.35
25/03/2012,6.19,18.35
26/03/2012,6.18,18.36
27/03/2012,6.17,18.36
28/03/2012,6.16,18.37
29/03/2012,6.14,18.38
30/03/2012,6.13,18.38
31/03/2012,6.12,18.39
1/4/2012,6.11,18.39
2/4/2012,6.1,18.4
3/4/2012,6.09,18.4
4/4/2012,6.08,18.41
5/4/2012,6.06,18.41
6/4/2012,6.05,18.42
7/4/2012,6.04,18.43
8/4/2012,6.03,18.43
9/4/2012,6.02,18.44
10/4/2012,6.01,18.44
11/4/2012,6,18.45
12/4/2012,5.59,18.45
13/04/2012,5.58,18.46
14/04/2012,5.57,18.46
15/04/2012,5.55,18.47
16/04/2012,5.54,18.48
17/04/2012,5.53,18.48
18/04/2012,5.52,18.49
19/04/2012,5.51,18.49
20/04/2012,5.5,18.5
21/04/2012,5.49,18.51
22/04/2012,5.48,18.51
23/04/2012,5.47,18.52
24/04/2012,5.46,18.52
25/04/2012,5.46,18.53
26/04/2012,5.45,18.53
27/04/2012,5.44,18.54
28/04/2012,5.43,18.55
29/04/2012,5.42,18.55
30/04/2012,5.41,18.56
1/5/2012,5.4,18.56
2/5/2012,5.39,18.57
3/5/2012,5.39,18.58
4/5/2012,5.38,18.58
5/5/2012,5.37,18.59
6/5/2012,5.36,19
7/5/2012,5.35,19
8/5/2012,5.35,19.01
9/5/2012,5.34,19.01
10/5/2012,5.33,19.02
11/5/2012,5.33,19.03
12/5/2012,5.32,19.03
13/05/2012,5.31,19.04
14/05/2012,5.31,19.04
15/05/2012,5.3,19.05
16/05/2012,5.3,19.06
17/05/2012,5.29,19.06
18/05/2012,5.28,19.07
19/05/2012,5.28,19.07
20/05/2012,5.28,19.08
21/05/2012,5.27,19.09
22/05/2012,5.27,19.09
23/05/2012,5.26,19.1
24/05/2012,5.26,19.1
25/05/2012,5.25,19.11
26/05/2012,5.25,19.11
27/05/2012,5.25,19.12
28/05/2012,5.24,19.13
29/05/2012,5.24,19.13
30/05/2012,5.24,19.14
31/05/2012,5.24,19.14
1/6/2012,5.23,19.14
2/6/2012,5.23,19.15
3/6/2012,5.22,19.15
4/6/2012,5.22,19.16
5/6/2012,5.22,19.16
6/6/2012,5.22,19.17
7/6/2012,5.22,19.17
8/6/2012,5.22,19.18
9/6/2012,5.22,19.18
10/6/2012,5.22,19.18
11/6/2012,5.22,19.19
12/6/2012,5.22,19.19
13/06/2012,5.22,19.19
14/06/2012,5.22,19.2
15/06/2012,5.22,19.2
16/06/2012,5.23,19.2
17/06/2012,5.23,19.21
18/06/2012,5.23,19.21
19/06/2012,5.23,19.21
20/06/2012,5.23,19.21
21/06/2012,5.23,19.22
22/06/2012,5.24,19.22
23/06/2012,5.24,19.22
24/06/2012,5.24,19.22
25/06/2012,5.24,19.22
26/06/2012,5.25,19.22
27/06/2012,5.25,19.22
28/06/2012,5.25,19.23
29/06/2012,5.26,19.23
30/06/2012,5.26,19.23
1/7/2012,5.27,19.23
2/7/2012,5.27,19.23
3/7/2012,5.27,19.23
4/7/2012,5.28,19.22
5/7/2012,5.28,19.22
6/7/2012,5.29,19.22
7/7/2012,5.29,19.22
8/7/2012,5.3,19.22
9/7/2012,5.3,19.22
10/7/2012,5.31,19.22
11/7/2012,5.31,19.21
12/7/2012,5.32,19.21
13/07/2012,5.32,19.21
14/07/2012,5.33,19.21
15/07/2012,5.33,19.2
16/07/2012,5.34,19.2
17/07/2012,5.34,19.2
18/07/2012,5.35,19.19
19/07/2012,5.35,19.19
20/07/2012,5.36,19.18
21/07/2012,5.36,19.18
22/07/2012,5.37,19.17
23/07/2012,5.37,19.17
24/07/2012,5.38,19.16
25/07/2012,5.39,19.16
26/07/2012,5.39,19.15
27/07/2012,5.4,19.15
28/07/2012,5.4,19.14
29/07/2012,5.41,19.13
30/07/2012,5.41,19.13
31/07/2012,5.42,19.12
1/8/2012,5.42,19.11
2/8/2012,5.43,19.11
3/8/2012,5.44,19.1
4/8/2012,5.44,19.09
5/8/2012,5.45,19.08
6/8/2012,5.45,19.08
7/8/2012,5.46,19.07
8/8/2012,5.46,19.06
9/8/2012,5.47,19.05
10/8/2012,5.47,19.04
11/8/2012,5.48,19.03
12/8/2012,5.49,19.02
13/08/2012,5.49,19.02
14/08/2012,5.5,19.01
15/08/2012,5.5,19
16/08/2012,5.51,18.59
17/08/2012,5.51,18.58
18/08/2012,5.52,18.57
19/08/2012,5.52,18.56
20/08/2012,5.53,18.55
21/08/2012,5.53,18.54
22/08/2012,5.54,18.53
23/08/2012,5.54,18.52
24/08/2012,5.55,18.51
25/08/2012,5.55,18.5
26/08/2012,5.56,18.48
27/08/2012,5.56,18.47
28/08/2012,5.57,18.46
29/08/2012,5.58,18.45
30/08/2012,5.58,18.44
31/08/2012,5.59,18.43
1/9/2012,5.59,18.42
2/9/2012,6,18.41
3/9/2012,6,18.39
4/9/2012,6,18.38
5/9/2012,6.01,18.37
6/9/2012,6.01,18.36
7/9/2012,6.02,18.35
8/9/2012,6.02,18.34
9/9/2012,6.03,18.32
10/9/2012,6.03,18.31
11/9/2012,6.04,18.3
12/9/2012,6.04,18.29
13/09/2012,6.05,18.28
14/09/2012,6.05,18.26
15/09/2012,6.06,18.25
16/09/2012,6.06,18.24
17/09/2012,6.07,18.23
18/09/2012,6.07,18.22
19/09/2012,6.08,18.2
20/09/2012,6.08,18.19
21/09/2012,6.09,18.18
22/09/2012,6.09,18.17
23/09/2012,6.1,18.16
24/09/2012,6.1,18.14
25/09/2012,6.11,18.13
26/09/2012,6.11,18.12
27/09/2012,6.12,18.11
28/09/2012,6.12,18.1
29/09/2012,6.13,18.08
30/09/2012,6.13,18.07
1/10/2012,6.14,18.06
2/10/2012,6.14,18.05
3/10/2012,6.15,18.04
4/10/2012,6.16,18.03
5/10/2012,6.16,18.02
6/10/2012,6.17,18.02
7/10/2012,6.17,17.59
8/10/2012,6.18,17.58
9/10/2012,6.18,17.57
10/10/2012,6.19,17.56
11/10/2012,6.19,17.55
12/10/2012,6.2,17.54
13/10/2012,6.21,17.53
14/10/2012,6.21,17.52
15/10/2012,6.22,17.51
16/10/2012,6.22,17.5
17/10/2012,6.23,17.49
18/10/2012,6.24,17.48
19/10/2012,6.24,17.47
20/10/2012,6.25,17.46
21/10/2012,6.26,17.45
22/10/2012,6.26,17.44
23/10/2012,6.27,17.43
24/10/2012,6.28,17.42
25/10/2012,6.28,17.41
26/10/2012,6.29,17.4
27/10/2012,6.3,17.39
28/10/2012,6.3,17.38
29/10/2012,6.31,17.38
30/10/2012,6.32,17.37
31/10/2012,6.32,17.36
1/11/2012,6.33,17.35
2/11/2012,6.34,17.34
3/11/2012,6.35,17.34
4/11/2012,6.35,17.33
5/11/2012,6.36,17.32
6/11/2012,6.37,17.32
7/11/2012,6.38,17.31
8/11/2012,6.38,17.3
9/11/2012,6.39,17.3
10/11/2012,6.4,17.29
11/11/2012,6.41,17.29
12/11/2012,6.41,17.28
13/11/2012,6.42,17.28
14/11/2012,6.43,17.27
15/11/2012,6.44,17.27
16/11/2012,6.45,17.26
17/11/2012,6.45,17.26
18/11/2012,6.46,17.26
19/11/2012,6.47,17.25
20/11/2012,6.48,17.25
21/11/2012,6.49,17.25
22/11/2012,6.49,17.24
23/11/2012,6.5,17.24
24/11/2012,6.51,17.24
25/11/2012,6.52,17.24
26/11/2012,6.53,17.24
27/11/2012,6.53,17.24
28/11/2012,6.54,17.23
29/11/2012,6.55,17.23
30/11/2012,6.56,17.23
1/12/2012,6.56,17.23
2/12/2012,6.57,17.23
3/12/2012,6.58,17.23
4/12/2012,6.59,17.23
5/12/2012,6.59,17.24
6/12/2012,7,17.24
7/12/2012,7.01,17.24
8/12/2012,7.02,17.24
9/12/2012,7.02,17.24
10/12/2012,7.03,17.24
11/12/2012,7.04,17.25
12/12/2012,7.04,17.25
13/12/2012,7.05,17.25
14/12/2012,7.06,17.26
15/12/2012,7.06,17.26
16/12/2012,7.07,17.26
17/12/2012,7.07,17.27
18/12/2012,7.08,17.27
19/12/2012,7.08,17.28
20/12/2012,7.09,17.28
21/12/2012,7.09,17.29
22/12/2012,7.1,17.29
23/12/2012,7.1,17.3
24/12/2012,7.11,17.3
25/12/2012,7.11,17.31
26/12/2012,7.12,17.31
27/12/2012,7.12,17.32
28/12/2012,7.12,17.33
29/12/2012,7.13,17.33
30/12/2012,7.13,17.34
31/12/2012,7.13,17.35
